68,70,24,0
61,64,19,0
127,130,185,1
53,57,22,0
155,154,98,0
112,113,111,0
198,198,158,0
37,38,29,0
111,109,55,0
69,78,121,1
201,200,162,0
0,128,0,0
1,2,0,0
10,7,2,0
171,170,120,0
128,161,217,1
2,2,172,0
170,184,232,1
147,146,96,0
197,196,200,0
175,174,123,0
210,194,182,0
149,185,255,1
92,10,0,0
54,55,21,0
170,167,116,0
62,107,158,1
57,113,168,1
171,170,119,0
23,35,17,0
51,93,140,1
144,143,87,0
38,35,7,0
167,167,119,0
61,65,24,0
111,151,209,1
49,93,140,1
155,168,130,0
196,195,157,0
183,180,135,0
63,64,20,0
141,169,234,1
164,174,228,1
158,197,255,1
88,165,74,0
185,186,142,0
174,172,124,0
151,154,105,0
201,199,164,0
126,129,79,0
65,70,25,0
85,52,203,0
104,118,231,0
166,166,120,0
168,182,235,1
54,55,21,0
172,172,126,0
165,179,108,0
174,174,120,0
172,169,124,0
140,136,101,0
35,34,8,0
200,198,164,0
80,83,34,0
176,175,125,0
101,141,199,1
82,81,37,0
11,72,52,0
62,123,187,1
176,174,126,0
89,56,160,0
53,53,13,0
137,172,228,1
167,163,114,0
129,134,95,0
63,126,200,1
143,163,228,1
165,179,232,1
183,180,135,0
255,255,255,0
140,177,221,1
163,165,123,0
144,142,88,0
221,218,213,0
56,57,23,0
15,14,0,0
95,111,164,1
175,176,137,0
36,38,8,0
56,54,23,0
235,240,241,0
181,179,131,0
178,175,130,0
170,171,127,0
64,65,21,0
103,148,222,1
49,107,166,1
162,162,122,0
90,142,212,1
14,13,0,0
98,130,179,1
150,159,223,1
171,169,121,0
60,61,21,0
55,56,22,0
102,150,222,1
165,163,115,0
107,96,92,0
51,53,17,0
177,173,132,0
184,182,141,0
145,179,222,1
79,91,131,1
144,156,162,0
132,171,223,1
175,173,139,0
96,76,59,0
67,99,255,0
41,94,151,1
134,135,91,0
171,169,121,0
173,172,122,0
152,155,106,0
102,127,183,1
164,163,113,0
4,0,0,0
160,164,128,0
0,246,237,0
31,31,7,0
100,152,223,1
171,170,120,0
56,55,41,0
11,8,0,0
98,102,155,1
199,197,162,0
178,178,132,0
132,129,74,0
46,48,12,0
197,195,160,0
157,158,118,0
74,78,37,0
176,170,129,0
175,172,127,0
138,139,89,0
197,195,160,0
65,66,24,0
86,88,42,0
182,179,134,0
164,163,113,0
159,157,103,0
179,174,113,0
182,177,138,0
178,177,127,0
182,179,135,0
135,135,135,0
114,216,211,0
161,160,109,0
117,154,216,1
177,180,134,0
198,198,158,0
38,0,144,0
38,39,7,0
123,122,64,0
67,104,178,1
186,180,137,0
129,158,227,1
0,0,255,0
137,179,244,1
180,179,135,0
181,179,138,0
183,183,137,0
183,181,133,0
178,178,132,0
149,186,254,1
165,164,108,0
139,138,94,0
66,24,243,0
164,162,114,0
180,177,132,0
139,137,83,0
60,107,169,1
179,176,131,0
204,211,254,1
147,168,230,1
51,27,223,0
1,2,0,0
150,152,100,0
139,140,90,0
175,175,127,0
11,10,0,0
173,142,97,0
180,179,135,0
143,142,81,0
155,157,111,0
140,139,81,0
181,178,134,0
152,165,121,0
195,194,156,0
202,200,165,0
201,200,162,0
183,180,135,0
163,166,117,0
198,198,158,0
41,44,29,0
179,177,129,0
192,191,153,0
190,188,148,0
29,39,26,0
178,177,133,0
173,172,128,0
53,53,17,0
57,103,157,1
43,162,87,0
178,176,128,0
149,167,232,1
175,174,124,0
98,86,80,0
199,197,162,0
81,55,209,0
59,107,159,1
186,185,141,0
186,170,158,0
52,94,139,1
167,163,114,0
178,175,131,0
49,50,16,0
70,80,120,1
33,34,8,0
136,139,90,0
159,160,120,0
34,36,7,0
46,97,153,1
51,53,17,0
182,177,138,0
172,171,121,0
42,43,23,0
162,164,118,0
76,79,30,0
176,174,126,0
135,170,220,1
49,49,49,0
197,196,158,0
158,162,120,0
130,130,130,0
152,182,231,1
71,76,21,0
166,168,116,0
58,58,18,0
144,181,249,1
58,58,18,0
77,78,34,0
255,0,128,0
12,187,6,0
93,139,217,1
201,209,255,1
235,193,158,0
81,84,35,0
187,185,144,0
0,0,181,0
170,166,115,0
171,171,117,0
141,139,85,0
141,139,85,0
175,173,125,0
240,121,106,0
28,36,26,0
180,181,139,0
138,180,251,1
165,161,112,0
168,168,128,0
26,24,6,0
150,95,218,0
75,77,31,0
152,183,120,0
154,160,119,0
174,173,122,0
181,178,134,0
84,89,138,1
4,4,0,0
154,158,122,0
16,14,3,0
165,164,114,0
177,174,129,0
108,115,154,0
56,58,22,0
18,15,1,0
167,167,131,0
53,105,158,1
216,227,235,0
82,79,28,0
62,127,106,0
125,163,217,1
200,197,166,0
58,56,46,0
201,200,162,0
172,172,124,0
9,8,4,0
72,72,72,0
170,168,120,0
146,148,96,0
146,145,89,0
147,146,90,0
245,123,83,0
6,7,0,0
20,20,4,0
100,137,199,1
178,176,128,0
75,119,172,1
90,142,218,1
176,175,125,0
138,140,88,0
0,128,0,0
103,152,226,1
54,55,21,0
33,34,8,0
139,163,229,1
86,84,66,0
173,141,100,0
182,179,135,0
159,160,126,0
159,162,123,0
116,218,213,0
156,192,255,1
157,160,121,0
198,198,158,0
152,155,116,0
113,114,58,0
55,101,165,1
181,102,183,0
23,22,8,0
200,198,163,0
34,79,63,0
255,255,254,0
96,149,222,1
148,162,228,1
180,179,145,0
34,76,65,0
97,96,45,0
191,189,148,0
178,176,128,0
185,183,142,0
9,10,0,0
175,178,129,0
52,53,9,0
173,172,122,0
96,149,222,1
129,168,220,1
3,137,107,0
135,144,94,0
202,211,254,1
39,35,11,0
201,200,162,0
16,16,2,0
113,112,54,0
175,95,172,0
60,59,38,0
180,176,128,0
134,175,220,1
119,120,81,0
158,156,102,0
141,176,220,1
180,181,139,0
124,155,210,1
201,197,156,0
52,57,18,0
78,83,32,0
27,69,44,0
34,83,145,1
199,195,160,0
73,72,44,0
132,133,131,0
149,149,101,0
36,32,3,0
165,163,115,0
83,52,209,0
30,69,47,0
168,165,114,0
140,139,89,0
181,181,133,0
144,141,90,0
2,0,0,0
112,111,53,0
176,190,238,1
98,97,41,0
164,163,113,0
61,62,23,0
141,166,230,1
201,200,162,0
136,138,102,0
182,180,132,0
168,182,234,1
155,154,98,0
81,80,29,0
111,73,19,0
3,0,2,0
148,144,95,0
185,183,135,0
151,190,252,1
67,132,193,1
55,56,14,0
30,40,24,0
200,212,252,1
57,54,46,0
